完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[  85] direct drive turbine | 直驱风力机 | 新能源 | 难度★★★
[  86] geared turbine | 齿轮箱风力机 | 新能源 | 难度★★
[  87] hybrid drive turbine | 半直驱风力机 | 新能源 | 难度★★★★
[  88] doubly fed induction generator | 双馈异步发电机 | 新能源 | 难度★★★★
[  89] permanent magnet synchronous generator | 永磁同步发电机 | 新能源 | 难度★★★
[  90] squirrel cage induction generator | 鼠笼异步发电机 | 新能源 | 难度★★★★
[  91] cut-in wind speed | 切入风速 | 新能源 | 难度★★
[  92] rated wind speed | 额定风速 | 新能源 | 难度★★
[  93] cut-out wind speed | 切出风速 | 新能源 | 难度★★
[  94] survival wind speed | 极限生存风速 | 新能源 | 难度★★★★
[  95] power curve | 功率曲线 | 新能源 | 难度★★
[  96] thrust curve | 推力曲线 | 新能源 | 难度★★★★
[  97] wind class | 风区等级 | 新能源 | 难度★★★
[  98] turbulence intensity | 湍流强度 | 新能源 | 难度★★★★
[  99] rotor diameter | 风轮直径 | 新能源 | 难度★★
[ 100] swept area | 扫风面积 | 新能源 | 难度★★★
[ 101] hub height | 轮毂高度 | 新能源 | 难度★★
[ 102] specific power | 单位扫风面积功率 | 新能源 | 难度★★★★
[ 103] power density | 功率密度 | 新能源 | 难度★★★
[ 104] annual energy production | 年发电量 | 新能源 | 难度★★
[ 105] wake loss | 尾流损失 | 新能源 | 难度★★★
[ 106] blockage effect | 阻塞效应 | 新能源 | 难度★★★★★
[ 107] wind farm layout optimization | 风场布局优化 | 新能源 | 难度★★★★
[ 108] nacelle | 机舱 | 新能源 | 难度★★
[ 109] rotor hub | 轮毂 | 新能源 | 难度★★
[ 110] pitch system | 变桨系统 | 新能源 | 难度★★
[ 111] variable pitch | 变桨距 | 新能源 | 难度★★★
[ 112] fixed pitch | 定桨距 | 新能源 | 难度★★★
[ 113] stall regulation | 失速调节 | 新能源 | 难度★★★★
[ 114] active stall | 主动失速 | 新能源 | 难度★★★★
[ 115] gearbox | 齿轮箱 | 新能源 | 难度★★
[ 116] planetary gearbox | 行星齿轮箱 | 新能源 | 难度★★★★
[ 117] parallel shaft gearbox | 平行轴齿轮箱 | 新能源 | 难度★★★★
[ 118] yaw system | 偏航系统 | 新能源 | 难度★★
[ 119] wind vane | 风向标 | 新能源 | 难度★★★
[ 120] anemometer | 风速计 | 新能源 | 难度★★
[ 121] ultrasonic anemometer | 超声波风速计 | 新能源 | 难度★★★
[ 122] LIDAR | 激光雷达 | 新能源 | 难度★★★
[ 123] SODAR | 声雷达 | 新能源 | 难度★★★★
[ 124] wind resource assessment | 风资源评估 | 新能源 | 难度★★
[ 125] wind atlas | 风资源图谱 | 新能源 | 难度★★★
[ 126] Weibull distribution | 威布尔分布 | 新能源 | 难度★★★★
[ 127] wind rose | 风玫瑰图 | 新能源 | 难度★★★
[ 128] wind shear | 风切变 | 新能源 | 难度★★★
[ 129] wind shear exponent | 风切变指数 | 新能源 | 难度★★★★
[ 130] low-level jet | 低空急流 | 新能源 | 难度★★★★
[ 131] wind gust | 阵风 | 新能源 | 难度★★
[ 132] extreme wind speed | 极端风速 | 新能源 | 难度★★★★
[ 133] turbulence | 湍流 | 新能源 | 难度★★★
[ 134] wind turbine noise | 风机噪声 | 新能源 | 难度★★
[ 135] amplitude modulation | 幅度调制 | 新能源 | 难度★★★★★
[ 136] infrasound | 次声 | 新能源 | 难度★★★★
[ 137] shadow flicker | 光影闪烁 | 新能源 | 难度★★
[ 138] setback distance | 退距 | 新能源 | 难度★★
[ 139] radar interference | 雷达干扰 | 新能源 | 难度★★★★
[ 140] aviation lighting | 航空警示灯 | 新能源 | 难度★★
[ 141] bird collision | 鸟类碰撞 | 新能源 | 难度★★★
[ 142] bat mortality | 蝙蝠死亡 | 新能源 | 难度★★★★
[ 143] marine spatial planning | 海洋空间规划 | 新能源 | 难度★★★
[ 144] offshore substation | 海上升压站 | 新能源 | 难度★★★
[ 145] transition piece | 过渡段 | 新能源 | 难度★★★
[ 146] monopile foundation | 单桩基础 | 新能源 | 难度★★
[ 147] jacket foundation | 导管架基础 | 新能源 | 难度★★★
[ 148] gravity base foundation | 重力式基础 | 新能源 | 难度★★★
[ 149] suction bucket foundation | 吸力桶基础 | 新能源 | 难度★★★★
[ 150] floating foundation | 浮式基础 | 新能源 | 难度★★★
[ 151] spar buoy | 柱式浮标 | 新能源 | 难度★★★★
[ 152] semi-submersible platform | 半潜式平台 | 新能源 | 难度★★★★
[ 153] tension leg platform | 张力腿平台 | 新能源 | 难度★★★★★
[ 154] mooring system | 系泊系统 | 新能源 | 难度★★★
[ 155] dynamic cable | 动态电缆 | 新能源 | 难度★★★★
[ 156] scour protection | 冲刷防护 | 新能源 | 难度★★★
[ 157] corrosion protection | 腐蚀防护 | 新能源 | 难度★★
[ 158] sacrificial anode | 牺牲阳极 | 新能源 | 难度★★★
[ 159] impressed current cathodic protection | 外加电流阴极保护 | 新能源 | 难度★★★★★
[ 160] marine growth | 海生物附着 | 新能源 | 难度★★★
[ 161] crew transfer vessel | 人员转运船 | 新能源 | 难度★★
[ 162] service operation vessel | 服务运维船 | 新能源 | 难度★★★
[ 163] helicopter access | 直升机登乘 | 新能源 | 难度★★★
[ 164] boat landing | 登靠平台 | 新能源 | 难度★★★
[ 165] lithium iron phosphate | 磷酸铁锂 | 新能源 | 难度★★
[ 166] nickel manganese cobalt | 镍钴锰三元 | 新能源 | 难度★★
[ 167] nickel cobalt aluminum | 镍钴铝三元 | 新能源 | 难度★★★
[ 168] lithium titanate | 钛酸锂 | 新能源 | 难度★★★★
[ 169] lithium manganese oxide | 锰酸锂 | 新能源 | 难度★★★★
[ 170] solid state battery | 固态电池 | 新能源 | 难度★★★★
[ 171] sodium ion battery | 钠离子电池 | 新能源 | 难度★★★
[ 172] flow battery | 液流电池 | 新能源 | 难度★★★
[ 173] vanadium redox flow battery | 全钒液流电池 | 新能源 | 难度★★★★
[ 174] zinc bromine flow battery | 锌溴液流电池 | 新能源 | 难度★★★★
[ 175] iron chromium flow battery | 铁铬液流电池 | 新能源 | 难度★★★★★
[ 176] lead acid battery | 铅酸电池 | 新能源 | 难度★
[ 177] advanced lead acid | 先进铅酸 | 新能源 | 难度★★★
[ 178] nickel cadmium battery | 镍镉电池 | 新能源 | 难度★★
[ 179] nickel metal hydride battery | 镍氢电池 | 新能源 | 难度★★
[ 180] compressed air energy storage | 压缩空气储能 | 新能源 | 难度★★★
[ 181] adiabatic CAES | 绝热压缩空气储能 | 新能源 | 难度★★★★★
[ 182] liquid air energy storage | 液态空气储能 | 新能源 | 难度★★★★
[ 183] pumped hydro storage | 抽水蓄能 | 新能源 | 难度★★
[ 184] flywheel energy storage | 飞轮储能 | 新能源 | 难度★★★
[ 185] superconducting magnetic energy storage | 超导磁储能 | 新能源 | 难度★★★★★
[ 186] supercapacitor | 超级电容器 | 新能源 | 难度★★★
[ 187] hybrid energy storage system | 混合储能系统 | 新能源 | 难度★★★
[ 188] battery cell | 电芯 | 新能源 | 难度★
[ 189] battery module | 电池模组 | 新能源 | 难度★
[ 190] battery pack | 电池包 | 新能源 | 难度★
[ 191] battery rack | 电池架 | 新能源 | 难度★★
[ 192] battery container | 电池集装箱 | 新能源 | 难度★★
[ 193] state of charge | 荷电状态 | 新能源 | 难度★★
[ 194] state of health | 健康状态 | 新能源 | 难度★★★
[ 195] state of power | 功率状态 | 新能源 | 难度★★★
[ 196] depth of discharge | 放电深度 | 新能源 | 难度★★
[ 197] cycle life | 循环寿命 | 新能源 | 难度★★
[ 198] calendar life | 日历寿命 | 新能源 | 难度★★★
[ 199] solid electrolyte interphase | 固体电解质界面膜 | 新能源 | 难度★★★★★
[ 200] capacity fade | 容量衰减 | 新能源 | 难度★★
[ 201] internal resistance | 内阻 | 新能源 | 难度★★
[ 202] self-discharge | 自放电 | 新能源 | 难度★★
[ 203] coulombic efficiency | 库仑效率 | 新能源 | 难度★★★★
[ 204] voltage hysteresis | 电压滞后 | 新能源 | 难度★★★★
[ 205] open circuit voltage | 开路电压 | 新能源 | 难度★★★
[ 206] cutoff voltage | 截止电压 | 新能源 | 难度★★
[ 207] nominal voltage | 标称电压 | 新能源 | 难度★
[ 208] C-rate | 充放电倍率 | 新能源 | 难度★★
[ 209] energy density | 能量密度 | 新能源 | 难度★★
[ 210] power density | 功率密度 | 新能源 | 难度★★
[ 211] specific energy | 比能量 | 新能源 | 难度★★★
[ 212] specific power | 比功率 | 新能源 | 难度★★★
[ 213] round-trip efficiency | 往返效率 | 新能源 | 难度★★
[ 214] energy capacity | 能量容量 | 新能源 | 难度★
[ 215] power rating | 功率等级 | 新能源 | 难度★
[ 216] duration | 持续放电时间 | 新能源 | 难度★★
[ 217] energy-to-power ratio | 能量功率比 | 新能源 | 难度★★★
[ 218] long-duration energy storage | 长时储能 | 新能源 | 难度★★★
[ 219] grid-forming inverter | 构网型逆变器 | 新能源 | 难度★★★★
[ 220] grid-following inverter | 跟网型逆变器 | 新能源 | 难度★★★
[ 221] black start capability | 黑启动能力 | 新能源 | 难度★★★★
[ 222] peak shaving | 削峰 | 新能源 | 难度★★
[ 223] load shifting | 负荷转移 | 新能源 | 难度★★
[ 224] frequency regulation | 频率调节 | 新能源 | 难度★★
[ 225] voltage support | 电压支撑 | 新能源 | 难度★★
[ 226] spinning reserve | 旋转备用 | 新能源 | 难度★★★
[ 227] non-spinning reserve | 非旋转备用 | 新能源 | 难度★★★
[ 228] demand response | 需求响应 | 新能源 | 难度★★
[ 229] virtual power plant | 虚拟电厂 | 新能源 | 难度★★★
[ 230] behind-the-meter storage | 表后储能 | 新能源 | 难度★★★
[ 231] front-of-meter storage | 表前储能 | 新能源 | 难度★★★
[ 232] community storage | 社区储能 | 新能源 | 难度★★★
[ 233] co-located storage | 共址储能 | 新能源 | 难度★★
[ 234] standalone storage | 独立储能 | 新能源 | 难度★★
[ 235] stacked revenue | 叠加收益 | 新能源 | 难度★★★
[ 236] thermal energy storage | 热能存储 | 新能源 | 难度★★
[ 237] molten salt storage | 熔盐储能 | 新能源 | 难度★★★
[ 238] phase change material | 相变材料 | 新能源 | 难度★★★★
[ 239] hydrogen energy storage | 氢储能 | 新能源 | 难度★★★
[ 240] power-to-gas | 电转气 | 新能源 | 难度★★★★
[ 241] power-to-liquid | 电转液 | 新能源 | 难度★★★★★
[ 242] cold storage | 蓄冷 | 新能源 | 难度★★★
[ 243] ice storage | 冰蓄冷 | 新能源 | 难度★★★
[ 244] polysilicon | 多晶硅原料 | 新能源 | 难度★★
[ 245] Siemens process | 西门子法 | 新能源 | 难度★★★★
[ 246] fluidized bed reactor | 流化床反应器 | 新能源 | 难度★★★★★
[ 247] metallurgical grade silicon | 冶金级硅 | 新能源 | 难度★★★★
[ 248] Czochralski process | 直拉法 | 新能源 | 难度★★★★
[ 249] directional solidification | 定向凝固 | 新能源 | 难度★★★
[ 250] wafer slicing | 硅片切割 | 新能源 | 难度★★
[ 251] kerf loss | 锯缝损失 | 新能源 | 难度★★★★
[ 252] surface texturing | 表面制绒 | 新能源 | 难度★★★
[ 253] alkaline etching | 碱刻蚀 | 新能源 | 难度★★★
[ 254] acid texturing | 酸制绒 | 新能源 | 难度★★★
[ 255] diffusion process | 扩散工艺 | 新能源 | 难度★★★
[ 256] phosphorus oxychloride | 三氯氧磷 | 新能源 | 难度★★★★
[ 257] boron diffusion | 硼扩散 | 新能源 | 难度★★★★
[ 258] anti-reflection coating | 减反射膜 | 新能源 | 难度★★
[ 259] plasma enhanced chemical vapor deposition | 等离子增强化学气相沉积 | 新能源 | 难度★★★★
[ 260] screen printing | 丝网印刷 | 新能源 | 难度★★
[ 261] sintering | 烧结 | 新能源 | 难度★★★
[ 262] laser doping | 激光掺杂 | 新能源 | 难度★★★★
[ 263] edge isolation | 边缘隔离 | 新能源 | 难度★★★
[ 264] tabbing | 焊接互联条 | 新能源 | 难度★★★
[ 265] stringing | 串焊 | 新能源 | 难度★★
[ 266] layup | 层叠 | 新能源 | 难度★★
[ 267] encapsulant | 封装胶膜 | 新能源 | 难度★★
[ 268] polyolefin elastomer | 聚烯烃弹性体 | 新能源 | 难度★★★★
[ 269] backsheet | 背板 | 新能源 | 难度★★
[ 270] tempered glass | 钢化玻璃 | 新能源 | 难度★★
[ 271] anti-reflective glass | 减反射玻璃 | 新能源 | 难度★★★
[ 272] lamination | 层压 | 新能源 | 难度★★
[ 273] junction box | 接线盒 | 新能源 | 难度★
[ 274] bypass diode | 旁路二极管 | 新能源 | 难度★★
[ 275] MC4 connector | MC4连接器 | 新能源 | 难度★★
[ 276] potential induced degradation | 电势诱导衰减 | 新能源 | 难度★★★★
[ 277] light induced degradation | 光致衰减 | 新能源 | 难度★★★
[ 278] light and elevated temperature induced degradation | 光热衰减 | 新能源 | 难度★★★★
[ 279] hot spot | 热斑 | 新能源 | 难度★★
[ 280] snail trail | 蜗牛纹 | 新能源 | 难度★★★
[ 281] microcrack | 隐裂 | 新能源 | 难度★★
[ 282] cell crack | 电池片碎裂 | 新能源 | 难度★★
[ 283] mounting structure | 支架结构 | 新能源 | 难度★
[ 284] ground mount | 地面支架 | 新能源 | 难度★
[ 285] rooftop mount | 屋顶支架 | 新能源 | 难度★
[ 286] ballasted mount | 压载支架 | 新能源 | 难度★★
[ 287] penetrating mount | 穿透式支架 | 新能源 | 难度★★
[ 288] tilt angle | 倾斜角 | 新能源 | 难度★★
[ 289] azimuth angle | 方位角 | 新能源 | 难度★★★
[ 290] row spacing | 行间距 | 新能源 | 难度★★
[ 291] ground coverage ratio | 地面覆盖率 | 新能源 | 难度★★★
[ 292] pile foundation | 桩基础 | 新能源 | 难度★★
[ 293] rammed pile | 锤击桩 | 新能源 | 难度★★★
[ 294] helical pile | 螺旋桩 | 新能源 | 难度★★★
[ 295] concrete foundation | 混凝土基础 | 新能源 | 难度★★
[ 296] cable trench | 电缆沟 | 新能源 | 难度★★
[ 297] cable tray | 电缆桥架 | 新能源 | 难度★★
[ 298] conduit | 导管 | 新能源 | 难度★★
[ 299] string monitoring | 组串监测 | 新能源 | 难度★★★
[ 300] IV curve tracing | IV曲线扫描 | 新能源 | 难度★★★★
[ 301] portable IV tracer | 便携式IV测试仪 | 新能源 | 难度★★★★
[ 302] electroluminescence | 电致发光 | 新能源 | 难度★★★★
[ 303] thermal imaging | 热成像 | 新能源 | 难度★★
[ 304] drone inspection | 无人机巡检 | 新能源 | 难度★★
[ 305] vegetation management | 植被管理 | 新能源 | 难度★★
[ 306] module cleaning | 组件清洗 | 新能源 | 难度★★
[ 307] robotic cleaning | 机器人清洗 | 新能源 | 难度★★★
[ 308] semi-automatic cleaning | 半自动清洗 | 新能源 | 难度★★★
[ 309] manual cleaning | 人工清洗 | 新能源 | 难度★★
[ 310] waterless cleaning | 无水清洗 | 新能源 | 难度★★★
[ 311] anti-soiling coating | 防污涂层 | 新能源 | 难度★★★
[ 312] green hydrogen | 绿氢 | 新能源 | 难度★★
[ 313] blue hydrogen | 蓝氢 | 新能源 | 难度★★
[ 314] grey hydrogen | 灰氢 | 新能源 | 难度★★
[ 315] pink hydrogen | 粉氢 | 新能源 | 难度★★★
[ 316] turquoise hydrogen | 青氢 | 新能源 | 难度★★★★
[ 317] steam methane reforming | 蒸汽甲烷重整 | 新能源 | 难度★★★
[ 318] autothermal reforming | 自热重整 | 新能源 | 难度★★★★
[ 319] partial oxidation | 部分氧化 | 新能源 | 难度★★★★
[ 320] water gas shift reaction | 水煤气变换反应 | 新能源 | 难度★★★★
[ 321] pressure swing adsorption | 变压吸附 | 新能源 | 难度★★★★
[ 322] proton exchange membrane electrolyzer | 质子交换膜电解槽 | 新能源 | 难度★★★★
[ 323] alkaline electrolyzer | 碱性电解槽 | 新能源 | 难度★★★
[ 324] solid oxide electrolyzer | 固体氧化物电解槽 | 新能源 | 难度★★★★★
[ 325] anion exchange membrane electrolyzer | 阴离子交换膜电解槽 | 新能源 | 难度★★★★★
[ 326] electrolyzer stack | 电解槽堆 | 新能源 | 难度★★★
[ 327] membrane electrode assembly | 膜电极组件 | 新能源 | 难度★★★★
[ 328] catalyst coated membrane | 催化涂层膜 | 新能源 | 难度★★★★★
[ 329] gas diffusion layer | 气体扩散层 | 新能源 | 难度★★★★
[ 330] bipolar plate | 双极板 | 新能源 | 难度★★★
[ 331] current collector | 集流体 | 新能源 | 难度★★★
[ 332] hydrogen storage | 氢储存 | 新能源 | 难度★★
[ 333] compressed gaseous hydrogen | 压缩气态氢 | 新能源 | 难度★★
[ 334] liquid hydrogen | 液氢 | 新能源 | 难度★★★
[ 335] metal hydride storage | 金属氢化物储氢 | 新能源 | 难度★★★★
[ 336] liquid organic hydrogen carrier | 液态有机氢载体 | 新能源 | 难度★★★★★
[ 337] ammonia as hydrogen carrier | 氨作为氢载体 | 新能源 | 难度★★★★
[ 338] hydrogen refueling station | 加氢站 | 新能源 | 难度★★
[ 339] fuel cell electric vehicle | 燃料电池电动车 | 新能源 | 难度★★
[ 340] proton exchange membrane fuel cell | 质子交换膜燃料电池 | 新能源 | 难度★★★★
[ 341] solid oxide fuel cell | 固体氧化物燃料电池 | 新能源 | 难度★★★★
[ 342] molten carbonate fuel cell | 熔融碳酸盐燃料电池 | 新能源 | 难度★★★★★
[ 343] phosphoric acid fuel cell | 磷酸燃料电池 | 新能源 | 难度★★★★★
[ 344] alkaline fuel cell | 碱性燃料电池 | 新能源 | 难度★★★★
[ 345] direct methanol fuel cell | 直接甲醇燃料电池 | 新能源 | 难度★★★★
[ 346] fuel cell stack | 燃料电池堆 | 新能源 | 难度★★★
[ 347] carbon emission | 碳排放 | 新能源 | 难度★
[ 348] carbon neutral | 碳中和 | 新能源 | 难度★
[ 349] net zero | 净零排放 | 新能源 | 难度★
[ 350] carbon peak | 碳达峰 | 新能源 | 难度★★
[ 351] carbon footprint | 碳足迹 | 新能源 | 难度★
[ 352] carbon credit | 碳信用 | 新能源 | 难度★★
[ 353] carbon offset | 碳抵消 | 新能源 | 难度★★
[ 354] carbon market | 碳市场 | 新能源 | 难度★★
[ 355] emission trading system | 排放权交易体系 | 新能源 | 难度★★★
[ 356] carbon tax | 碳税 | 新能源 | 难度★★
[ 357] cap and trade | 限额交易 | 新能源 | 难度★★★
[ 358] carbon allowance | 碳排放配额 | 新能源 | 难度★★★
[ 359] voluntary carbon market | 自愿碳市场 | 新能源 | 难度★★★
[ 360] compliance carbon market | 合规碳市场 | 新能源 | 难度★★★
[ 361] carbon pricing | 碳定价 | 新能源 | 难度★★
[ 362] internal carbon price | 内部碳定价 | 新能源 | 难度★★★
[ 363] shadow carbon price | 影子碳价 | 新能源 | 难度★★★★
[ 364] carbon leakage | 碳泄漏 | 新能源 | 难度★★★★
[ 365] carbon border adjustment | 碳边境调节 | 新能源 | 难度★★★★
[ 366] greenhouse gas protocol | 温室气体核算体系 | 新能源 | 难度★★★
[ 367] scope 1 emission | 范围一排放 | 新能源 | 难度★★★
[ 368] scope 2 emission | 范围二排放 | 新能源 | 难度★★★
[ 369] scope 3 emission | 范围三排放 | 新能源 | 难度★★★
[ 370] emission factor | 排放因子 | 新能源 | 难度★★★
[ 371] CO2 equivalent | 二氧化碳当量 | 新能源 | 难度★★★
[ 372] global warming potential | 全球变暖潜势 | 新能源 | 难度★★★★
[ 373] science based target | 科学碳目标 | 新能源 | 难度★★★
[ 374] renewable energy certificate | 可再生能源证书 | 新能源 | 难度★★
[ 375] power purchase agreement | 购电协议 | 新能源 | 难度★★
[ 376] virtual power purchase agreement | 虚拟购电协议 | 新能源 | 难度★★★
[ 377] environmental social governance | 环境社会治理 | 新能源 | 难度★★
[ 378] sustainability report | 可持续发展报告 | 新能源 | 难度★★
[ 379] Task Force on Climate-related Financial Disclosures | 气候相关财务披露工作组 | 新能源 | 难度★★★★
[ 380] climate risk assessment | 气候风险评估 | 新能源 | 难度★★★
[ 381] physical risk | 物理风险 | 新能源 | 难度★★★
[ 382] transition risk | 转型风险 | 新能源 | 难度★★★
[ 383] stranded asset | 搁浅资产 | 新能源 | 难度★★★★
[ 384] just transition | 公正转型 | 新能源 | 难度★★★
[ 385] circular economy | 循环经济 | 新能源 | 难度★★
[ 386] life cycle assessment | 生命周期评估 | 新能源 | 难度★★★
[ 387] cradle to gate | 摇篮到大门 | 新能源 | 难度★★★★
[ 388] cradle to grave | 摇篮到坟墓 | 新能源 | 难度★★★★
[ 389] embodied carbon | 隐含碳 | 新能源 | 难度★★★
[ 390] operational carbon | 运营碳排放 | 新能源 | 难度★★★
[ 391] carbon capture and storage | 碳捕集与封存 | 新能源 | 难度★★★
[ 392] carbon capture utilization and storage | 碳捕集利用与封存 | 新能源 | 难度★★★
[ 393] direct air capture | 直接空气捕集 | 新能源 | 难度★★★★
[ 394] bioenergy with carbon capture and storage | 生物能源碳捕集封存 | 新能源 | 难度★★★★★
[ 395] carbon sink | 碳汇 | 新能源 | 难度★★
[ 396] carbon sequestration | 碳封存 | 新能源 | 难度★★★
[ 397] afforestation | 植树造林 | 新能源 | 难度★★
[ 398] reforestation | 重新造林 | 新能源 | 难度★★
[ 399] electric vehicle | 电动汽车 | 新能源 | 难度★
[ 400] battery electric vehicle | 纯电动汽车 | 新能源 | 难度★★
[ 401] plug-in hybrid electric vehicle | 插电式混合动力汽车 | 新能源 | 难度★★
[ 402] hybrid electric vehicle | 混合动力汽车 | 新能源 | 难度★★
[ 403] range anxiety | 续航焦虑 | 新能源 | 难度★★
[ 404] charging station | 充电站 | 新能源 | 难度★
[ 405] charging pile | 充电桩 | 新能源 | 难度★
[ 406] AC charging | 交流充电 | 新能源 | 难度★
[ 407] DC fast charging | 直流快充 | 新能源 | 难度★★
[ 408] ultra-fast charging | 超快充 | 新能源 | 难度★★★
[ 409] vehicle-to-grid | 车网互动 | 新能源 | 难度★★★
[ 410] vehicle-to-home | 车家互动 | 新能源 | 难度★★★
[ 411] vehicle-to-load | 车对负载 | 新能源 | 难度★★★
[ 412] battery swapping | 换电 | 新能源 | 难度★★
